ID,名前,表示する文字
TALKSTART,Saionzi,何の用だ？
BATTLE_OK,Saionzi,誰と戦うんだ？
BATTLE_NG,Saionzi,後%d人敵を倒してこい
BATTLE_YES,Saionzi,行ってこい！
BATTLE_NO,Saionzi,そうか、戦いに往くときは話しかけてくれ
BATTLE_1,Saionzi,Bobだな。\nあいつは、パンチが強い。
BATTLE_2,Saionzi,Satoだな。\nあいつは、キックが強い。当たると結構なダメージになるぞ。
BATTLE_3,Saionzi,Abeだな。\n
DEADNUM,Saionzi,今%d人倒したぞ
RECOVERY_OK,Saionzi,1000円で回復するぞ
RECOVERY_NG,Saionzi,金が足りないようだな
RECOVERY_MAX,Saionzi,すでに元気そうだな
GETITEM,Saionzi,2000円で1つやるよ
SELECT_1,Saionzi,強い奴と戦いたい
SELECT_2,Saionzi,倒した敵の数を知りたい
SELECT_3,Saionzi,回復したい
SELECT_4,Saionzi,アイテムが欲しい
SELECT_5,Saionzi,用はない
SELECT_BATTLE_1,Ueda,Bob
SELECT_BATTLE_2,Ueda,Sato
SELECT_BATTLE_3,Ueda,Abe
SELECT_BATTLE_YES,Ueda,バトルに往く
SELECT_BATTLE_NO,Ueda,やっぱやめる
